tipo,nome,logradouro,bairro,municipio,estado,m²,quartos,banheiros,vagas,preco,preco do m²,Anunciante,latitude,longitude
Apartamento,Wit Residences,"Rua Ernesto Mariucci, 480",Jardim Aclimação,Maringa,PR,55.0,2,0,1,120000.0,2181.82,Pedro Granado Imóveis,-23.4453286,-51.9186265
Apartamento,Up Residence,"Avenida Senador Petrônio Portela, 1021",Jardim Aclimação,Maringa,PR,64.0,3,0,1,125000.0,1953.13,Gisa Giseli Corretora de Imóveis,-23.4477368,-51.9118327
Apartamento,Residencial Santa Julia,"Avenida das Torres , ap. 34 bl 04",Jardim Guairacá,Maringa,PR,43.09,2,0,1,130000.0,3016.94,Imobiliária Silvio Iwata,-23.3865222,-51.971165
Casa,Zona 07,"Rua Quintino Bocaiúva, 890",Zona 07,Maringa,PR,34.0,1,0,1,130000.0,3823.53,Sândalo Imóveis,-23.40679,-51.94699
Apartamento,Torre Douro,"Rua Ouro Verde, 314",Vila Emília,Maringa,PR,54.0,2,0,1,140000.0,2592.59,MURAKAMI IMOVEIS PRIME,-23.4463033,-51.935105
Apartamento,Residencial Santa Clara,"Rua Jorge Benedito Seraval, 3055",Jardim Guairacá,Maringa,PR,45.0,2,0,1,140000.0,3111.11,Theodorado Imóveis Ltda,-23.3861263,-51.9727897
Apartamento,Residencial Santa Clara,"Rua Jorge Benedito Seraval, 3055",Jardim Três Lagoas,Maringa,PR,45.0,2,0,1,140000.0,3111.11,Imobiliária Morada do Sol,-23.38766,-51.9739294
Apartamento,Conj. Hab. Dalva de Oliveira,"Rua Pioneiro João Perin, 649",Parque Tarumã,Maringa,PR,43.0,2,0,1,140000.0,3255.81,Pedro Granado Imóveis,-23.4647878,-51.9238825
Apartamento,Jardim Guairacá,"Avenida das Torres, 3163",Jardim Guairacá,Maringa,PR,37.26,2,0,1,140000.0,3757.38,Medeiros Imobiliária,-23.3865222,-51.971165
Apartamento,Pousada Universitária,"Rua Luiz Corrêa , 02",Cidade Jardim,Maringa,PR,34.3,1,0,1,140000.0,4081.63,Shimizu Imóveis,-23.3977311,-51.93918
Apartamento,Open Life,"Avenida Governador Parigot de Souza, 229",Zona 01,Maringa,PR,50.66,1,0,1,144000.0,2842.48,Carmona Imóveis,-23.4248143,-51.9452875
Apartamento,Cesular Flat,"Avenida Guedner, 1137",Zona 08,Maringa,PR,33.0,1,0,1,145000.0,4393.94,RS IMÓVEIS,-23.4372995,-51.9138207
Apartamento,Residencial Ataulfo Alves,"Rua Pioneiro João Perin, 1211",Parque Tarumã,Maringa,PR,43.0,2,0,1,150000.0,3488.37,Merlin Gestão de Imóveis,-23.4647878,-51.9238825
Casa,Jardim Guairaca,"Avenida das Torres, 3163",Jardim Guairaca,Maringa,PR,37.0,2,0,1,150000.0,4054.05,Ingamax Imoveis,-23.3865222,-51.971165
Apartamento,San Diego,"Rua Tietê, 675",Zona 07,Maringa,PR,35.0,1,0,1,150000.0,4285.71,Granado Imóveis,-23.4111592,-51.9457419
Casa,Cidade Jardim,"Rua Luiz Corrêa, 644",Cidade Jardim,Maringa,PR,34.0,1,0,1,150000.0,4411.76,MAGNANI IMOVEIS LTDA,-23.3977311,-51.93918
Apartamento,Residencial Dalva de Oliveira,"Rua Pioneiro Joao Perin, 1211",Parque Taruma,Maringa,PR,50.6,2,0,0,152000.0,3003.95,Bianchini Imoveis,-23.4647878,-51.9238825
Apartamento,Residencial Santa Clara,"Rua Henri Jean Viana Júnior, 3531",Jardim Três Lagoas,Maringa,PR,43.0,2,0,1,155000.0,3604.65,Dubai Imóveis,-23.3877353,-51.9730248
Apartamento,Franz Liszt,"Rua Jangada, 507",Zona 07,Maringa,PR,39.0,1,0,1,155000.0,3974.36,Lélo Imóveis,-23.4083166,-51.9458162
Apartamento,Edificío Conte Herrig,"Rua Mandaguari, 638",Zona 07,Maringa,PR,24.79,1,0,1,155000.0,6252.52,Sirlei Andrade Corretora de Imóveis,-23.4095145,-51.9463481
Apartamento,Santa Clara,"Rua Jorge Benedito Seraval, 3531",Jardim Guairacá,Maringa,PR,43.0,2,0,1,159000.0,3697.67,Lélo Imóveis,-23.3861263,-51.9727897
Apartamento,Imperium Park Residence,"Rua Moscados, 150",Vila Marumby,Maringa,PR,80.0,3,0,1,160000.0,2000.0,Pedro Granado Imóveis,-23.450006,-51.9260395
Apartamento,Residencial Ataulfo Alves,"Rua Pioneiro João Perin, 1211",Parque Tarumã,Maringa,PR,50.0,2,0,1,160000.0,3200.0,Imobiliária Daros,-23.4647878,-51.9238825
Casa,Parque Tarumã,"Rua Pioneiro João Perin, 1050",Parque Tarumã,Maringa,PR,45.0,2,0,1,160000.0,3555.56,MAGNANI IMOVEIS LTDA,-23.4647878,-51.9238825
Apartamento,Edificio Franz Liszt,"Rua Jangada, 507",Zona 07,Maringa,PR,39.0,1,0,1,160000.0,4102.56,Pardinho Imóveis,-23.4083166,-51.9458162
Apartamento,Rio Bahia,"Rua Osvaldo Cruz, 789",Zona 07,Maringa,PR,28.0,1,0,1,160000.0,5714.29,Ekos Imóveis,-23.41134,-51.9434837
Apartamento,Platinum,"Rua Belo Horizonte, 352",Jardim Ipiranga,Maringa,PR,27.0,1,0,1,160000.0,5925.93,Antenor Imóveis,-23.4161003,-51.9482785
Apartamento,Pousada Universitária,"Rua Luiz Corrêa, 243",Cidade Jardim,Maringa,PR,32.54,1,0,1,163000.0,5009.22,Operação Imóveis,-23.3977311,-51.93918
Apartamento,Residencial Abaré,"Avenida Doutor Mário Clapier Urbinati, 344",Zona 07,Maringa,PR,21.65,1,0,1,164900.0,7616.63,Imobiliária Silvio Iwata,-23.4054459,-51.9474012
Apartamento,Ed Mauricio Schulman,"Avenida Doutor Mário Clapier Urbinati, 724",Zona 07,Maringa,PR,80.0,3,0,1,165000.0,2062.5,Amarildo Neves de Lara,-23.4061787,-51.9452784
Casa,Parque Taruma,"Rua Pioneiro Joao Perin, 1211",Parque Taruma,Maringa,PR,54.0,2,0,1,165000.0,3055.56,Taroba Imoveis,-23.4647878,-51.9238825
Apartamento,Vila Emilia,"Rua Ouro Verde, 314",Vila Emilia,Maringa,PR,52.0,2,0,1,165000.0,3173.08,Conecta Corretores,-23.4463033,-51.935105
Apartamento,Havaí,"Rua Mandaguari, 418",Zona 07,Maringa,PR,34.0,1,0,1,165000.0,4852.94,Lélo Imóveis,-23.4095145,-51.9463481
Apartamento,Wit Residences,"Rua Ernesto Mariucci, 480",Jardim Aclimação,Maringa,PR,64.0,3,0,1,167000.0,2609.38,Rafael Sapucaia Corretor de Imóveis,-23.4453286,-51.9186265
Apartamento,Santa Clara,"Rua Jorge Benedito Seraval, 3531",Jardim Guairaca,Maringa,PR,43.0,2,0,1,169000.0,3930.23,Lelo Imoveis,-23.3861263,-51.9727897
Casa,Zona 07,"Rua Bragança, 441",Zona 07,Maringa,PR,29.0,1,0,1,169900.0,5858.62,FG4 Imóveis,-23.4103618,-51.9460452
Casa,Jardim Munique,"Rua Diógenes Pinto, 357",Jardim Munique,Maringa,PR,138.0,3,0,3,170000.0,1231.88,Imobiliária Alte,-23.372992,-51.9643986
Apartamento,Monza,"Rua Visconde de Nassau, 712",Zona 07,Maringa,PR,55.0,2,0,1,170000.0,3090.91,Pedro Granado Imóveis,-23.4107224,-51.9416925
Apartamento,Torres Douro,"Rua Ouro Verde, 314",Vila Emilia,Maringa,PR,54.0,2,0,1,170000.0,3148.15,MURAKAMI IMOVEIS PRIME,-23.4463033,-51.935105
Apartamento,Torre Douro,"Rua Ouro Verde, 314",Vila Emilia,Maringa,PR,54.0,2,0,1,170000.0,3148.15,MURAKAMI IMOVEIS PRIME,-23.4463033,-51.935105
Apartamento,Catuaí,"Avenida Guedner, 3060",Zona 08,Maringa,PR,50.0,3,0,1,170000.0,3400.0,Imobiliária Santa Catarina,-23.4372995,-51.9138207
Apartamento,Azaleia,"Avenida Cerro Azul, 2438",Jardim Novo Horizonte,Maringa,PR,47.76,2,0,1,170000.0,3559.46,Imobiliaria Morada do Sol,-23.4524234,-51.9319999
Apartamento,Azaleia,"Avenida Cerro Azul, 2438",Zona 02,Maringa,PR,47.0,2,0,1,170000.0,3617.02,Imobiliária Santa Catarina,-23.4374613,-51.9330743
Apartamento,Residencial Azaleia,"Avenida Cerro Azul, 2438",Jardim Novo Horizonte,Maringa,PR,47.0,2,0,1,170000.0,3617.02,MAGNANI IMOVEIS LTDA,-23.4524234,-51.9319999
Apartamento,Torre de Miami,"Rua Tietê, 584",Zona 07,Maringa,PR,37.0,1,0,1,170000.0,4594.59,Imobiliária Abrão Ltda,-23.4111592,-51.9457419
Apartamento,Ecoville,"Rua Tietê, 435",Zona 07,Maringa,PR,33.0,1,0,1,170000.0,5151.52,Pedro Granado Imóveis,-23.4111592,-51.9457419
Apartamento,Pousada Universitária,"Rua Luiz Corrêa, 243",Cidade Jardim,Maringa,PR,32.54,1,0,1,170000.0,5224.34,Massaru Imóveis,-23.3977311,-51.93918
Apartamento,Residencial Primaveril,"Rua Bragança, 530",Zona 07,Maringa,PR,30.23,1,0,1,170000.0,5623.55,Imobiliária Abrão Ltda,-23.4103618,-51.9460452
Apartamento,Pousada Universitaria,"Rua Luiz Correa, 243",Cidade Jardim,Maringa,PR,34.0,1,0,1,174900.0,5144.12,Croti Imoveis,-23.3977311,-51.93918
Apartamento,Diego Rivera,"Rua Pioneiro Paschoal Locatelli, 606",Conjunto Residencial Cidade Alta,Maringa,PR,50.0,2,0,1,175000.0,3500.0,Imobiliária Paiaguás,-23.4656295,-51.910162
Apartamento,Spazio Mirante dos Maias,"Avenida Pioneiro Antonio Ruiz Saldanha, 730",Parque Industrial,Maringa,PR,46.0,1,0,1,175000.0,3804.35,Lélo Imóveis,-23.4540205,-51.9838412
Apartamento,Dalva de Oliveira,"Rua Pioneiro Joao Perin, 649",Parque Taruma,Maringa,PR,43.0,2,0,1,175000.0,4069.77,Lelo Imoveis,-23.4647878,-51.9238825
Apartamento,Chaplin IV,"Rua Professor Itamar Orlando Soares, 401",Zona 07,Maringa,PR,23.0,1,0,1,175000.0,7608.7,ALD Gestora de Imóveis,-23.4049768,-51.9458372
Casa,Zona 07,"Rua Marechal Floriano Peixoto, 237",Zona 07,Maringa,PR,53.0,2,0,1,175800.0,3316.98,La Bela Vista Imóveis,-23.4147216,-51.9314859
Casa,Zona 07,"Rua Tietê, 200",Zona 07,Maringa,PR,25.0,1,0,1,179000.0,7160.0,MAGNANI IMOVEIS LTDA,-23.4111592,-51.9457419
Apartamento,Residencial Alto Sp,"Avenida São Paulo, 224",Zona 01,Maringa,PR,119.0,3,0,2,180000.0,1512.61,Carmona Imóveis,-23.4251474,-51.9331569
Casa,Jardim Aclimacao,"Rua Ernesto Mariucci, 480",Jardim Aclimacao,Maringa,PR,63.0,3,0,1,180000.0,2857.14,Fujimoveis Empreendimentos Imobiliarios,-23.4453286,-51.9186265
Apartamento,Anchieta II,"Rua Marciano Halchuk, 55",Vila Bosque,Maringa,PR,53.94,3,0,1,180000.0,3337.04,Opção Imóveis,-23.4353346,-51.925898
Apartamento,Conjunto Residencial Carimã II,"Rua Vasco da Gama, 774",Vila Marumby,Maringa,PR,50.0,2,0,1,180000.0,3600.0,MAGNANI IMOVEIS LTDA,-23.4452497,-51.9279409
